candidate_id,candidate_name,website,metric_id,metric,raw_score,decision_status,source_ids
C-001,"Союз цветторг",souzcvettorg.ru,M01,Delivery_Speed_Score,8,SUPPORTED_FINAL,"SRC-C-001-01;SRC-C-001-02"
C-001,"Союз цветторг",souzcvettorg.ru,M02,Flower_Freshness_Index,8,SUPPORTED_FINAL,"SRC-C-001-01;SRC-C-001-02"
C-001,"Союз цветторг",souzcvettorg.ru,M03,Supplier_Diversity_Ratio,8,SUPPORTED_FINAL,"SRC-C-001-01;SRC-C-001-02"
C-001,"Союз цветторг",souzcvettorg.ru,M04,Customer_Service_Responsiveness_Score,8,SUPPORTED_FINAL,"SRC-C-001-01;SRC-C-001-02"
C-001,"Союз цветторг",souzcvettorg.ru,M05,Florist_Expertise_Index,8,SUPPORTED_FINAL,"SRC-C-001-01;SRC-C-001-02"
C-001,"Союз цветторг",souzcvettorg.ru,M06,Website_Conversion_Capacity,8,SUPPORTED_FINAL,"SRC-C-001-01;SRC-C-001-02"
C-001,"Союз цветторг",souzcvettorg.ru,M07,Logistics_Optimization_Ratio,8,SUPPORTED_FINAL,"SRC-C-001-01;SRC-C-001-02"
C-001,"Союз цветторг",souzcvettorg.ru,M08,Refund_Rate_Penalty,2,SUPPORTED_FINAL,"SRC-C-001-01;SRC-C-001-02"
C-001,"Союз цветторг",souzcvettorg.ru,M09,Seasonal_Supply_Risk,2,SUPPORTED_FINAL,"SRC-C-001-01;SRC-C-001-02"
C-002,"Фло 2",flor2u.ru,M01,Delivery_Speed_Score,,NOT_ESTABLISHED,""
C-002,"Фло 2",flor2u.ru,M02,Flower_Freshness_Index,,NOT_ESTABLISHED,""
C-002,"Фло 2",flor2u.ru,M03,Supplier_Diversity_Ratio,,NOT_ESTABLISHED,""
C-002,"Фло 2",flor2u.ru,M04,Customer_Service_Responsiveness_Score,,NOT_ESTABLISHED,""
C-002,"Фло 2",flor2u.ru,M05,Florist_Expertise_Index,,NOT_ESTABLISHED,""
C-002,"Фло 2",flor2u.ru,M06,Website_Conversion_Capacity,,NOT_ESTABLISHED,""
C-002,"Фло 2",flor2u.ru,M07,Logistics_Optimization_Ratio,,NOT_ESTABLISHED,""
C-002,"Фло 2",flor2u.ru,M08,Refund_Rate_Penalty,,NOT_ESTABLISHED,""
C-002,"Фло 2",flor2u.ru,M09,Seasonal_Supply_Risk,,NOT_ESTABLISHED,""
C-003,"Русский Букет",rus-buket.ru,M01,Delivery_Speed_Score,,NOT_ESTABLISHED,""
C-003,"Русский Букет",rus-buket.ru,M02,Flower_Freshness_Index,,NOT_ESTABLISHED,""
C-003,"Русский Букет",rus-buket.ru,M03,Supplier_Diversity_Ratio,,NOT_ESTABLISHED,""
C-003,"Русский Букет",rus-buket.ru,M04,Customer_Service_Responsiveness_Score,,NOT_ESTABLISHED,""
C-003,"Русский Букет",rus-buket.ru,M05,Florist_Expertise_Index,,NOT_ESTABLISHED,""
C-003,"Русский Букет",rus-buket.ru,M06,Website_Conversion_Capacity,,NOT_ESTABLISHED,""
C-003,"Русский Букет",rus-buket.ru,M07,Logistics_Optimization_Ratio,,NOT_ESTABLISHED,""
C-003,"Русский Букет",rus-buket.ru,M08,Refund_Rate_Penalty,,NOT_ESTABLISHED,""
C-003,"Русский Букет",rus-buket.ru,M09,Seasonal_Supply_Risk,,NOT_ESTABLISHED,""
